price,bedroom,hsize,lsize,location,facility
510000000 ,2,80,80,Malang,4.0
700000000 ,3,100,60,Lowokwaru,
5000000000 ,5,300,378,Malang,
2500000000 ,12,180,110,Lowokwaru,6.0
2411000000 ,3,144,187,Sukun,
1200000000 ,5,150,144,Sukun,
169000000 ,2,30,60,Bululawang,9.0
650000000 ,2,80,101,Malang,
4000000000 ,6,360,220,Lowokwaru,
595000000 ,2,150,84,Dau,2.0
3000000000 ,4,190,216,Sukun,1.0
1450000000 ,4,90,121,Lowokwaru,
1700000000 ,5,230,240,Sengkaling,
3000000000 ,7,600,320,Tunjungsekar,15.0
3800000000 ,6,350,328,Buah-Buahan,
6180000000 ,5,400,518,Blimbing,
5200000000 ,3,350,203,Klojen,
345000000 ,2,75,75,Malang,1.0
725000000 ,2,80,135,Blimbing,
2600000000 ,3,350,200,Pakis,
1400000000 ,5,170,240,Tidar,
635000000 ,2,55,83,Tunggulwulung,18.0
525000000 ,2,45,113,Sukun,
376600000 ,2,40,69,Ploso,9.0
1950000000 ,3,140,185,Sukun,4.0
